Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
Tyre Patty,"cafe, continental, italian, beverages",Elgin,"Ground Floor, 26, Lee Road, Lee Commerce, Elgin, Kolkata",850,1421,3.2000000000000006,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe continental italian beverages homedelivery takeaway indoorseating expensive
Chill Maar,"cafe, italian, continental, beverages",Elgin,"Ground Floor, 6G, Elgin Road, Near Bhowanipore Education Society College, Elgin, Kolkata",400,384,3.5,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,cafe italian continental beverages homedelivery takeaway indoorseating midrange
Fillers,"fast food, sandwich, pizza, desserts, beverages",Southern Avenue,"26, Jatin Bagchi Road, Near Vivekananda Park, Southern Avenue, Kolkata",400,762,3.7,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,fast food sandwich pizza desserts beverages homedelivery takeaway vegonly indoorseating midrange
Orko's Restaurant,"north indian, mughlai, chinese, kebab, continental, beverages, shake",City Centre 1,"3rd Floor, Block E, City Centre 1, Sector 1, Salt Lake, Kolkata",1500,1347,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian mughlai chinese kebab continental beverages shake homedelivery takeaway indoorseating expensive
Fresh-N-Up,"chinese, north indian, seafood",Golpark,"56, Ballygunge Gardens, Golpark, Kolkata",500,540,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian seafood homedelivery takeaway indoorseating expensive
Cha Bar,"cafe, italian, chinese, tea, beverages",Park Street Area,"17, Oxford Book Store, Park Street Area, Kolkata",700,994,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe italian chinese tea beverages homedelivery takeaway indoorseating expensive
Rajshahi Restaurant,"biryani, north indian, street food",Park Circus Area,"128/1, Ustad Enayat Khan Road, Karaya Road, Park Circus Area, Kolkata",50,330,3.3,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani north indian street food homedelivery takeaway cheapeats
Jeera Kitchen,north indian,Prince Anwar Shah Road,"188/95, Prince Anwar Shah Road, Kolkata",150,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,north indian homedelivery cheapeats
Eddy's Kitchen,"north indian, chinese, continental, mughlai, italian, sandwich, momos, biryani",Ballygunge,"54/4D, Ground Floor, Hazra Road, Ward 86, Ballygunge, Kolkata",600,0,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese continental mughlai italian sandwich momos biryani homedelivery takeaway indoorseating expensive
Kasan - The Flavours Of India,"north indian, chinese",Park Circus Area,"6/3A, A.J.C. Bose Road, Park Circus Area, Kolkata",800,121,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese homedelivery takeaway indoorseating expensive
Scoop,"chinese, south indian, north indian, fast food, beverages",New Market Area,"3A, New Empire Building, Humayun Place, New Market Area, Kolkata",1000,3459,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese south indian north indian fast food beverages homedelivery takeaway indoorseating expensive
Aromas - Kenilworth Hotel,"north indian, oriental, continental, thai",Kenilworth Hotel,"Kenilworth Hotel, 1&2, Little Russel Street, Theatre Road, Kolkata",1900,295,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian oriental continental thai homedelivery takeaway indoorseating expensive
Moulin Rouge,"north indian, finger food, chinese",Park Street Area,"31, Park Street Area, Kolkata",850,1247,3.9000000000000004,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian finger food chinese homedelivery takeaway indoorseating expensive
Hongkong Bistro,chinese,Hindustan Park,"70B, Purna Das Road, Hindustan Park, Kolkata",1100,1251,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
Sarang,"south indian, fast food, north indian, ice cream, beverages",New Market Area,"15A, New Empire Cinema, Jawaharlal Nehru Road, New Market Area, Kolkata",400,153,0.0,midrange,homedelivery   indoorseating,homedelivery indoorseating midrange,south indian fast food north indian ice cream beverages homedelivery indoorseating midrange
Best of Gupta's,"north indian, chinese, fast food",New Market Area,"53C, Mirza Galib Street, New Market Area, Kolkata",800,471,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese fast food homedelivery takeaway indoorseating expensive
The Biryani Chapter,"north indian, rolls, biryani",Ballygunge,"54/4D, Ground Floor, Hazra Road, Ballygunge, Kolkata",500,0,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian rolls biryani homedelivery takeaway indoorseating expensive
The Chaa Khanaa,"chinese, kebab, sandwich, fast food",Picnic Garden,"36/24, Chandra Nath Roy Road, KMC Ward 066, Picnic Garden, Kolkata",100,0,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese kebab sandwich fast food homedelivery takeaway cheapeats
Eighty Eight Plus Cafe,"cafe, fast food, chinese, ice cream, shake",Elgin,"88, Ground Floor, HDFC Bank Building, Chowringhee Road, Near PC Chandra, Elgin, Kolkata",800,389,3.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe fast food chinese ice cream shake homedelivery takeaway indoorseating expensive
Biryani Tales,"biryani, north indian, mughlai, kebab",Prince Anwar Shah Road,"51/5 B, Prince Golam Mohammad Shah Road, Jadavpur, Near Prince Anwar Shah Road, Kolkata",200,0,0.0,midrange,homedelivery   ,homedelivery midrange,biryani north indian mughlai kebab homedelivery midrange
Firehouse Pizza,pizza,College Street,"41/A, Rabindra Sarani, College Street, Kolkata",200,0,0.0,midrange,homedelivery   ,homedelivery midrange,pizza homedelivery midrange
College Street Kitchen,"chinese, north indian, mughlai",College Street,"52/1/1A, College Street, Kolkata",400,1,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese north indian mughlai homedelivery takeaway indoorseating midrange
Kake D Hatti,north indian,Bhawanipur,"24 A, Chakraberia Road, Bhawanipur, Kolkata",400,6771,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian homedelivery takeaway indoorseating midrange
The Brownie Factory,desserts,Park Circus Area,"16, Kimber Street, Park Circus Area, Kolkata",100,0,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,desserts homedelivery takeaway cheapeats
Grace,"italian, healthy food, beverages, fast food, continental",Ruby Hospital Area,"777, 2nd Floor, Eastern Metropolitan Bypass, Anandapur, Adarsha Nagar, Ruby Hospital Area, Kolkata",1600,43,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,italian healthy food beverages fast food continental homedelivery takeaway indoorseating expensive
Eat Out,"chinese, north indian, rolls",Picnic Garden,"10/3, C N Roy Road, Picnic Garden, Kolkata",300,835,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese north indian rolls homedelivery takeaway indoorseating midrange
Potboiler Coffee House,"cafe, continental, fast food, desserts, beverages, coffee",Hindustan Park,"468A, Hemanta Mukhopadhyay Sarani, Borough 8, Kolkata Municipal Corporation, Hindustan Park, Kolkata",950,391,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe continental fast food desserts beverages coffee homedelivery takeaway indoorseating expensive
Indigo Delicatessen,"european, continental, american, beverages, desserts",Quest Mall,"33, 5th Floor, Syed Amir Ali Avenue, Park Circus, Quest Mall, Park Circus Area, Kolkata",1400,284,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,european continental american beverages desserts homedelivery takeaway indoorseating expensive
Nigar's Kitchen,"north indian, chinese, rolls, fast food, mughlai, desserts",Picnic Garden,"16F/1A, Chandra Nath Roy Road, Ward 66, Picnic Garden, Kolkata",100,1646,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian chinese rolls fast food mughlai desserts homedelivery takeaway cheapeats
The Burning Coal,"chinese, fast food, beverages, desserts",Hindustan Park,"37/1, Triangular Park, Lake Terrace, Hindustan Park, Kolkata",800,112,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese fast food beverages desserts homedelivery takeaway indoorseating expensive
Riyasat-E-Hind,"chinese, north indian, mughlai, kebab, biryani, desserts, beverages",Ballygunge,"51, Ground Floor, Syed Amir Ali Avenue, Ballygunge, Kolkata",1000,1182,3.8000000000000003,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian mughlai kebab biryani desserts beverages homedelivery takeaway indoorseating expensive
China Express,"chinese, seafood, beverages",Sealdah Area,"6, Mahatma Gandhi Road, Near Sealdah Area, Kolkata",450,39,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood beverages homedelivery takeaway indoorseating expensive
Asian Deli,"chinese, asian, oriental",Topsia,"139/1G, Tiljala Road, Near OYO Townhouse 229, Topsia, Kolkata",250,103,3.9,midrange,homedelivery   ,homedelivery midrange,chinese asian oriental homedelivery midrange
Billions,"asian, continental, north indian",Topsia,"83, 1st Floor, Trinity Tower, Topsia, Kolkata",1400,137,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,asian continental north indian homedelivery takeaway indoorseating expensive
Mozaik Restaurant,"north indian, chinese, continental",Minto Park,"6, Circular Road, Minto Park, Kolkata",600,424,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese continental homedelivery takeaway indoorseating expensive
Cake Wizard,bakery,Kasba,"911, Block - F kol -39, Tagore Park, Red color house, Near Gupta Motors, Kasba, Kolkata",100,7,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery homedelivery takeaway cheapeats
Trapeze,"asian, fast food, north indian, beverages",Park Street Area,"31, 1st And 2nd Floor, Chowringhee Road, Park Street Area, Kolkata",1400,676,3.7999999999999994,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,asian fast food north indian beverages homedelivery takeaway indoorseating expensive
De Bakkeriz,"bakery, desserts",Behala,"13, Sadhan Hari Mukherjee Road, James Long Sarani, Bhairabitala, Indrajit Pally, Behala, Kolkata",50,5,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts homedelivery takeaway cheapeats
Quick Noodle,chinese,Sector 1,"AB 79, PNB More, Sector 1, Salt Lake, Kolkata",200,0,0.0,midrange,homedelivery   ,homedelivery midrange,chinese homedelivery midrange
Ekdalia Cocina,"continental, chinese, fast food, south indian, desserts, beverages",Gariahat,"68, Ground Floor, 14 PC Sarkar Sarani, Gariahat, Kolkata",800,136,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental chinese fast food south indian desserts beverages homedelivery takeaway indoorseating expensive
Sooper Sandwich,"sandwich, fast food, burger, healthy food",Park Circus Area,"22 D, Gorachand Road, Park Circus Area, Kolkata",100,51,3.4,cheapeats,homedelivery   ,homedelivery cheapeats,sandwich fast food burger healthy food homedelivery cheapeats
Wokies,"asian, chinese, beverages",Kalighat,"6, Ward 87, Sarat Chatterjee Avenue, Borough, Kalighat, Kolkata",500,369,4.1000000000000005,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,asian chinese beverages homedelivery takeaway indoorseating expensive
La Macario Cafe,"cafe, fast food, beverages, asian",Theatre Road,"1st Floor, 10, Dr.Martin Luther King Sarani, Wood Street, Theatre Road, Kolkata",1100,167,3.7999999999999994,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe fast food beverages asian homedelivery takeaway indoorseating expensive
Homemade Kitchen Items,"bengali, north indian, biryani",Picnic Garden,"3B/C, 1392/A, Nature Nest, Picnic Garden, Kolkata",150,59,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali north indian biryani homedelivery cheapeats
Happy Hour,"fast food, north indian, kebab, beverages",Ballygunge,"63 C, Ward 68, Near 127, Ballygunge, Kolkata",250,40,3.5,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,fast food north indian kebab beverages homedelivery takeaway midrange
Koyla Cafe Lounge,"cafe, chinese, beverages, continental, italian",Ballygunge,"70, 3rd Floor, Beck Bagan Row, Opposite Quest Mall Gate 5, Ballygunge, Kolkata",900,101,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe chinese beverages continental italian homedelivery takeaway indoorseating expensive
Double Down,"thai, chinese, fast food, continental, beverages",Elgin,"11/1, Sarat Bose Road, Elgin, Kolkata",2000,465,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,thai chinese fast food continental beverages homedelivery takeaway indoorseating expensive
Cream Bell,"ice cream, desserts",Park Circus Area,"1B, Balu Hakkak Lane, Park Circus Area, Kolkata",200,16,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,ice cream desserts homedelivery takeaway indoorseating midrange
The City Wok,"asian, chinese",Loudon Street Area,"12, Opposite Bellevue Hospital, Loudon Street Area, Kolkata",600,159,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,asian chinese homedelivery takeaway indoorseating expensive
Posto Theke Pasta,"fast food, bengali",Ruby Hospital Area,"133, Netaji Nagar, Vip Nagar, Ruby Hospital Area, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,fast food bengali homedelivery cheapeats
Bedouin Restaurant,"rolls, bengali, chinese",Gariahat,"47B, 1st Floor, Leela Roy Sarani, Near Gariahat, Kolkata",150,12,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,rolls bengali chinese homedelivery cheapeats
Hammer,"continental, mexican, north indian, beverages",Park Street Area,"20G, 6th Floor, Near Loreto House, Park Street Area, Kolkata",1800,490,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental mexican north indian beverages homedelivery takeaway indoorseating expensive
Malhotra Snax Corner,"chinese, fast food, north indian",Topsia,"48, Kustia Road, Topsia, Kolkata",400,5,0.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese fast food north indian homedelivery takeaway midrange
